License Number,License Type,License Type Code,License Status,License Status Code,Issued Date,Effective Date,Expiration Date,Application Number,SEE Category,Entity Name,DBA,Location ID,Address Line 1,Address Line 2,City,State,Zip Code,County,Region,Latitude,Longitude,Business Website,Operational Status,Business Purpose,Tier Type,Processor Type,Cultivation Indoor,Cultivation Outdoor,Cultivation Mixed Light,Cultivation Combination,Cultivation Activities Drying Curing,Cultivation Activities Storage,Cultivation Activities Packaging,Cultivation Activities Waste Rendering,Processing Activities Extraction,Processing Activities Blending and Infusing,Processing Activities Packaging and Labeling,Processing Activities Branding,Retail Activities Sales with Delivery,Retail Activities Sales No Delivery,Retail Activities Non-Cannabis Products,Retail Activities Drive Thru,Retail Date Opened to Public,Primary Contact Name
OCM-PROC-24-000096,Adult-Use Processor License,OCMPROC,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMPROC-2023-000306,Women-Owned Business,10395727 NY LLC,,65D0F1B8-3992-4726-BA85-BF6D14673641,138 Se 33rd Street,,Cape Coral,FL,33904,,,26.59087,-81.97135,,Active,Adult-Use Processing,,"Packaging; Labeling and Branding, including for the exclusive performance of white labeling agreements",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Lori Gronman
OCM-RETL-24-000123,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/10/2024 12:00:00 AM,07/10/2024 12:00:00 AM,07/10/2026 12:00:00 AM,OCMRETL-2023-001433,,10415 Jamaica LLC,,314E8E20-6BB0-4619-A213-F3B9942F69C5,10415 Jamaica Ave,,Jamaica,NY,11418,Queens,Queens,40.695388,-73.84285,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Jon-Eric Aben
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001318,,10613 Northern LLC,,16EBCFA1-A322-465D-9F7E-8561A977752C,10613 Northern Blvd,,Corona,NY,11368,Queens,Queens,40.758042,-73.862295,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Avie Li
OCM-CAURD-24-000177,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,Active,LICACT,08/02/2024 12:00:00 AM,08/02/2024 12:00:00 AM,08/02/2026 12:00:00 AM,OCMCAURDP-2023-000228,,1106 REBECCA ST LIMITED LIABILITY COMPANY,HERBOLOGY,154217,304 Ellery St,,Brooklyn,NY,11206,Kings,Long Island,,,,Active,AdultUseRetail,,,,,,,,,,,,,,,,,,,,John Guercia
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001114,,1110 NAMO INC,,AD6A0EF1-0217-4D2B-8787-780EE29FC3C6,1110 Middle Country Rd,,Selden,NY,11784,Suffolk,Long Island,40.862965,-73.052208,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Prashant Parikh
OCM-RETL-24-000109,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,06/21/2024 12:00:00 AM,06/21/2024 12:00:00 AM,06/21/2026 12:00:00 AM,OCMRETL-2023-001824,Minority-Owned Business,115 Corner LLC,,6E2350E7-6BDF-4F9F-B935-F0BA5FFA13C4,345 E 115th St,,New York,NY,10029,New York,Manhattan,40.7957,-73.93629,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Isa Brnja
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001290,,14707 45th LLC,,CE002BA8-52EE-41E4-BEF4-455112B41D56,14707 45th Ave,,Flushing,NY,11355,Queens,Queens,40.755654,-73.817641,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Wei Li
OCM-RETL-24-000138,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,07/16/2024 12:00:00 AM,07/16/2024 12:00:00 AM,07/16/2026 12:00:00 AM,OCMRETL-2023-002035,,1650 CRANE STREET DISPENSARY LLC,,826555C7-8D08-4E9C-9F5C-800AB8BAA0B4,1650 Crane St Ste 1,,Schenectady,NY,12303,Schenectady,Capital District,42.78974162,-73.9450709,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,Anthony Guidarelli
OCM-CULT-24-000060,Adult-Use Cultivator License,OCMCULT,Active,LICACT,05/10/2024 12:00:00 AM,05/10/2024 12:00:00 AM,05/10/2026 12:00:00 AM,OCMCULT-2023-000154,,1821 Hemp LLC,,B42D36DA-DCEF-4389-A232-C9B1F4F88892,,,,,,Cortland,Central NY,,,,Active,Adult-Use Cultivation,CCULT_OUTDOOR_T4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Todd Town
OCM-CULT-24-000165,Adult-Use Cultivator License,OCMCULT,Active,LICACT,09/12/2024 12:00:00 AM,09/12/2024 12:00:00 AM,09/12/2026 12:00:00 AM,OCMCULT-2023-000267,Minority-Owned Business,1HQ Inc,,BC70D5E7-101B-4FBB-9939-24247D45B5A0,,,,,,Dutchess,Mid-Hudson,,,,Active,Adult-Use Cultivation,CULT_INDOOR_T1,,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,,Edwin Perez
OCM-DIST-24-000020,Adult-Use Distributor License,OCMDIST,Active,LICACT,05/14/2024 12:00:00 AM,05/14/2024 12:00:00 AM,05/14/2026 12:00:00 AM,OCMDIST-2023-000245,Minority-Owned Business,1HQ Inc,,BF8D4741-0A88-4AF8-B1D1-4DD6BE44937C,4170 Albany Post Rd,,Hyde Park,NY,12538,Dutchess,Mid-Hudson,41.77595,73.93047,,Active,Adult-Use Distribution,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Edwin Perez
OCM-PROC-24-000144,Adult-Use Processor License,OCMPROC,Active,LICACT,10/16/2024 12:00:00 AM,10/16/2024 12:00:00 AM,10/16/2026 12:00:00 AM,OCMPROC-2023-000343,Minority-Owned Business,1HQ Inc,,C57760BC-F308-4DBD-820B-21429EF9B742,4170 Albany Post Rd,,Hyde Park,NY,12538,Dutchess,Mid-Hudson,41.77595,-73.93047,,Active,Adult-Use Processing,,"Extraction; Infusing and Blending; and Packaging, Labeling and Branding",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,,Edwin Perez
OCM-RETL-24-000081,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,05/13/2024 12:00:00 AM,05/13/2024 12:00:00 AM,05/13/2026 12:00:00 AM,OCMRETL-2023-000372,,1WILDE1 LLC,WILDE ROOTS DISPENSARY,A2132820-95AB-4D2C-A5D3-0D5058059E26,4179 State Route 20,,Castleton,NY,12033,Rensselaer,Capital District,42.5419189,-73.6660971,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Michael Wilde
,Conditional Adult-Use Retail Dispensary License,OCMCAURD22,In-Process,Pending,,,,OCMCAURDP-2024-000025,,212Partners,,LID191,1119 Broadway,,Brooklyn,NY,11221,Kings,,40.69383871,-73.92954066,,,Adult-Use Retail Sales,,,,,,,,,,,,,,,,,,,,
OCM-RETL-24-000021,Adult-Use Retail Dispensary License,OCMRETL,Active,LICACT,03/21/2024 12:00:00 AM,03/21/2024 12:00:00 AM,03/21/2026 12:00:00 AM,OCMRETL-2023-001377,Minority-Owned Business,2147 44th LLC,,FA5FD31F-3168-4517-AD4B-FCF501FD6568,2147 44th Dr,,Long Island City,NY,11101,Queens,Queens,40.747982,-73.9455,,Active,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Alexander Chan
,Adult-Use Retail Dispensary License,OCMRETL,In-Process,Pending,,,,OCMRETL-2023-001496,,2601 Genesee LLC,,0615091A-102E-4165-9649-D068E67280F9,2601 Genesee St,,Buffalo,NY,14225,Erie,Western NY,42.92146,-78.78601,,Non-Operational,Adult-Use Retail Sales,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Manjit Kaur Multani
